	0	1	2	3	4	5	6	7	8	9	A	B	C	D	E	F
28	12	2	2	8	2	6	12	0	0	2	6	0	4	0	6	2
29	4	2	2	10	0	2	4	0	0	14	10	2	4	6	0	4
2A	4	2	4	6	0	2	8	2	2	14	2	6	2	6	2	2
2B	12	2	2	2	4	6	6	2	0	2	6	2	6	0	8	4
2C	4	2	2	4	0	2	10	4	2	2	4	8	8	4	2	6
2D	6	2	6	2	8	4	4	4	2	4	6	0	8	2	0	6
2E	6	6	2	2	0	2	4	6	4	0	6	2	12	2	6	4
2F	2	2	2	2	2	6	8	8	2	4	4	6	8	2	4	2
30	0	4	6	0	12	6	2	2	8	2	4	4	6	2	2	4
31	4	8	2	10	2	2	2	2	6	0	0	2	2	4	10	8
32	4	2	6	4	4	2	2	4	6	6	4	8	2	2	8	0
33	4	4	6	2	10	8	4	2	4	0	2	2	4	6	2	4
34	0	8	16	6	2	0	0	12	6	0	0	0	0	8	0	6
35	2	2	4	0	8	0	0	0	14	4	6	8	0	2	14	0
36	2	6	2	2	8	0	2	2	4	2	6	8	6	4	10	0
37	2	2	12	4	2	4	4	10	4	4	2	6	0	2	2	4
38	0	6	2	2	2	0	2	2	4	6	4	4	4	6	10	10
39	6	2	2	4	12	6	4	8	4	0	2	4	2	4	4	0
3A	6	4	6	4	6	8	0	6	2	2	6	2	2	6	4	0
3B	2	6	4	0	0	2	4	6	4	6	8	6	4	4	6	2
3C	0	10	4	0	12	0	4	2	6	0	4	12	4	4	2	0
3D	0	8	6	2	2	6	0	8	4	4	0	4	0	12	4	4
3E	4	8	2	2	2	4	4	14	4	2	0	2	0	8	4	4
3F	4	8	4	2	4	0	2	4	4	2	4	8	8	6	2	2

	0	1	2	3	4	5	6	7	8	9	A	B	C	D	E	F
0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	4	0	2	6	4	0	14	8	6	8	4	6	2
2	0	0	0	2	0	4	6	4	0	0	4	6	10	10	12	6
3	4	8	4	8	4	6	4	2	4	2	2	4	6	2	0	4
4	0	0	0	0	0	6	0	14	0	6	10	4	10	6	4	4
5	2	0	4	8	2	4	6	6	2	0	8	4	2	4	10	2
6	0	12	6	4	6	4	6	2	2	10	2	8	2	0	0	0
7	4	6	6	4	2	4	4	2	6	4	2	4	4	6	0	6
8	0	0	0	4	0	4	0	8	0	10	16	6	6	0	6	4
9	14	2	4	10	2	8	2	6	2	4	0	0	2	2	2	4
A	0	6	6	2	10	4	10	2	6	2	2	4	2	2	4	2
B	6	2	2	0	2	4	6	2	10	2	0	6	6	4	4	8
C	0	0	0	4	0	14	0	10	0	6	2	4	4	8	6	6
D	6	2	6	2	10	2	0	4	0	10	4	2	8	2	2	4
E	0	6	12	8	0	4	2	0	8	2	4	4	6	2	0	6
F	0	8	2	0	6	6	8	2	4	4	4	6	8	0	4	2
10	0	0	0	8	0	4	10	2	0	2	8	10	0	10	6	4
11	6	6	4	6	4	0	6	4	8	2	10	2	2	4	0	0
12	0	6	2	6	2	4	12	4	6	4	0	4	4	6	2	2
13	4	0	4	0	8	6	6	0	0	2	0	6	4	8	2	14
14	0	6	6	4	10	0	2	12	6	2	2	2	4	4	2	2
15	6	8	2	0	8	2	0	2	2	2	2	2	2	14	10	2
16	0	8	6	4	2	2	4	2	6	4	6	2	6	0	6	6
17	6	4	8	6	4	4	0	4	6	2	4	4	4	2	4	2
18	0	6	4	6	10	4	0	2	4	8	0	0	4	8	2	6
19	2	4	6	4	4	2	4	2	6	4	6	8	0	6	4	2
1A	0	6	8	4	2	4	2	2	8	2	2	6	2	4	4	8
1B	0	6	4	4	0	12	6	4	2	2	2	4	4	2	10	2
1C	0	4	6	6	12	0	4	0	10	2	6	2	0	0	10	2
1D	0	6	2	2	6	0	4	16	4	4	2	0	0	4	6	8
1E	0	4	8	2	10	6	6	0	8	4	0	2	4	4	0	6
1F	4	2	6	6	2	2	2	4	8	6	10	6	4	0	0	2
20	0	0	0	2	0	12	10	4	0	0	0	2	14	2	8	10
21	0	4	6	8	2	10	4	2	2	6	4	2	6	2	0	6
22	4	12	8	4	2	2	0	0	2	8	8	6	0	6	0	2
23	8	2	0	2	8	4	2	6	4	8	2	2	6	4	2	4
24	10	4	0	0	0	4	0	2	6	8	6	10	8	0	2	4
25	6	0	12	2	8	6	10	0	0	8	2	6	0	0	2	2
26	2	2	4	4	2	2	10	14	2	0	4	2	2	4	6	4
27	6	0	0	2	6	4	2	4	4	4	8	4	8	0	6	6
28	8	0	8	2	4	12	2	0	2	6	2	0	6	2	0	10
29	0	2	4	10	2	8	6	4	0	10	0	2	10	0	2	4
2A	4	0	4	8	6	2	4	4	6	6	2	6	2	2	4	4
2B	2	2	6	4	0	2	2	6	2	8	8	4	4	4	8	2
2C	10	6	8	6	0	6	4	4	4	2	4	4	0	0	2	4
2D	2	2	2	4	0	0	0	2	8	4	4	6	10	2	14	4
2E	2	4	0	2	10	4	2	0	2	2	6	2	8	8	10	2
2F	12	4	6	8	2	6	2	8	0	4	0	2	0	8	2	0
30	0	4	0	2	4	4	8	6	10	6	2	12	0	0	0	6
31	0	10	2	0	6	2	10	2	6	0	2	0	6	6	4	8
32	8	4	6	0	6	4	4	8	4	6	8	0	2	2	2	0
33	2	2	6	10	2	0	0	6	4	4	12	8	4	2	2	0
34	0	12	6	4	6	0	4	4	4	0	4	6	4	2	4	4
35	0	12	4	6	2	4	4	0	10	0	0	8	0	8	0	6
36	8	2	4	0	4	0	4	2	0	8	4	2	6	16	2	2
37	6	2	2	2	6	6	4	8	2	2	6	2	2	2	4	8
38	0	8	8	10	6	2	2	0	4	0	4	2	4	0	4	10
39	0	2	0	0	8	0	10	4	10	0	8	4	4	4	4	6
3A	4	0	2	8	4	2	2	2	4	8	2	0	4	10	10	2
3B	16	4	4	2	8	2	2	6	4	4	4	2	0	2	2	2
3C	0	2	6	2	8	4	6	0	10	2	2	4	4	10	4	0
3D	0	16	10	2	4	2	4	2	8	0	0	8	0	6	2	0
3E	4	4	0	10	2	4	2	14	4	2	6	6	0	0	6	0
3F	4	0	0	2	0	8	2	4	0	2	4	4	4	14	10	6

	0	1	2	3	4	5	6	7	8	9	A	B	C	D	E	F
0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	2	0	4	2	12	0	14	0	4	8	2	6	10
2	0	0	0	2	0	2	0	8	0	4	12	10	4	6	8	8
3	8	6	10	4	8	6	0	6	4	4	0	0	0	4	2	2
4	0	0	0	4	0	2	4	2	0	12	8	4	6	8	10	4
5	6	2	4	8	6	10	6	2	2	8	2	0	2	0	4	2
6	0	10	6	6	10	0	4	12	2	4	0	0	6	4	0	0
7	2	0	0	4	4	4	4	2	10	4	4	8	4	4	4	6
8	0	0	0	10	0	4	4	6	0	6	6	6	6	0	8	8
9	10	2	0	2	10	4	6	2	0	6	0	4	6	2	4	6
A	0	10	6	0	14	6	4	0	4	6	6	0	4	0	2	2
B	2	6	2	10	2	2	4	0	4	2	6	0	2	8	14	0
C	0	0	0	8	0	12	12	4	0	8	0	4	2	10	2	2
D	8	2	8	0	0	4	2	0	2	8	14	2	6	2	4	2
E	0	4	4	2	4	2	4	4	10	4	4	4	4	4	2	8
F	4	6	4	6	2	2	4	8	6	2	6	2	0	6	2	4
10	0	0	0	4	0	12	4	8	0	4	2	6	2	14	0	8
11	8	2	2	6	4	0	2	0	8	4	12	2	10	0	2	2
12	0	2	8	2	4	8	0	8	8	0	2	2	4	2	14	0
13	4	4	12	0	2	2	2	10	2	2	2	2	4	4	4	8
14	0	6	4	4	6	4	6	2	8	6	6	2	2	0	0	8
15	4	8	2	8	2	4	8	0	4	2	2	2	2	6	8	2
16	0	6	10	2	8	4	2	0	2	2	2	8	4	6	4	4
17	0	6	6	0	6	2	4	4	6	2	2	10	6	8	2	0
18	0	8	4	6	6	0	6	2	4	0	4	2	10	0	6	6
19	4	2	4	8	4	2	10	2	2	2	6	8	2	6	0	2
1A	0	8	6	4	4	0	6	4	4	8	0	10	2	2	2	4
1B	4	10	2	0	2	4	2	4	8	2	2	8	4	2	8	2
1C	0	6	8	8	4	2	8	0	12	0	10	0	4	0	2	0
1D	0	2	0	6	2	8	4	6	2	0	4	2	4	10	0	14
1E	0	4	8	2	4	6	0	4	10	0	2	6	4	8	4	2
1F	0	6	8	0	10	6	4	6	4	2	2	10	4	0	0	2
20	0	0	0	0	0	4	4	8	0	2	2	4	10	16	12	2
21	10	8	8	0	8	4	2	4	0	6	6	6	0	0	2	0
22	12	6	4	4	2	4	10	2	0	4	4	2	4	4	0	2
23	2	2	0	6	0	2	4	0	4	12	4	2	6	4	8	8
24	4	8	2	12	6	4	2	10	2	2	2	4	2	0	4	0
25	6	0	2	0	8	2	0	2	8	8	2	2	4	4	10	6
26	6	2	0	4	4	0	4	0	4	2	14	0	8	10	0	6
27	0	2	4	16	8	6	6	6	0	2	4	4	0	2	2	2
28	6	2	10	0	6	4	0	4	4	2	4	8	2	2	8	2
29	0	2	8	4	0	4	0	6	4	10	4	8	4	4	4	2
2A	2	6	0	4	2	4	4	6	4	8	4	4	4	2	4	6
2B	10	2	6	6	4	4	8	0	4	2	2	0	2	4	4	6
2C	10	4	6	2	4	2	2	2	4	10	4	4	0	2	6	2
2D	4	2	4	4	4	2	4	16	2	0	0	4	4	2	6	6
2E	4	0	2	10	0	6	10	4	2	6	6	2	2	0	2	8
2F	8	2	0	0	4	4	4	2	6	4	6	2	4	8	4	6
30	0	10	8	6	2	0	4	2	10	4	4	6	2	0	6	0
31	2	6	2	0	4	2	8	8	2	2	2	0	2	12	6	6
32	2	0	4	8	2	8	4	4	8	4	2	8	6	2	0	2
33	4	4	6	8	6	6	0	2	2	2	6	4	12	0	0	2
34	0	6	2	2	16	2	2	2	12	2	4	0	4	2	0	8
35	4	6	0	10	8	0	2	2	6	0	0	6	2	10	2	6
36	4	4	4	4	0	6	6	4	4	4	4	4	0	6	2	8
37	4	8	2	4	2	2	6	0	2	4	8	4	10	0	6	2
38	0	8	12	0	2	2	6	6	2	10	2	2	0	8	0	4
39	2	6	4	0	6	4	6	4	8	0	4	4	2	4	8	2
3A	6	0	2	2	4	6	4	4	4	2	2	6	12	2	6	2
3B	2	2	6	0	0	10	4	8	4	2	4	8	4	4	0	6
3C	0	2	4	2	12	2	0	6	2	0	2	8	4	6	4	10
3D	4	6	8	6	2	2	2	2	10	2	6	6	2	4	2	0
3E	8	6	4	4	2	10	2	0	2	2	4	2	4	2	10	2
3F	2	6	4	0	0	10	8	2	2	8	6	4	6	2	0	4

	0	1	2	3	4	5	6	7	8	9	A	B	C	D	E	F
0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	16	16	0	0	16	16	0	0	0	0	0
2	0	0	0	8	0	4	4	8	0	4	4	8	8	8	8	0
3	8	6	2	0	2	4	8	2	6	0	4	6	0	6	2	8
4	0	0	0	8	0	0	12	4	0	12	0	4	8	4	4	8
5	4	2	2	8	2	12	0	2	2	0	12	2	8	2	2	4
6	0	8	8	4	8	8	0	0	8	0	8	0	4	0	0	8
7	4	2	6	4	6	0	16	6	2	0	0	2	4	2	6	4
8	0	0	0	4	0	8	4	8	0	4	8	8	4	8	8	0
9	8	4	4	4	4	0	8	4	4	0	0	4	4	4	4	8
A	0	6	6	0	6	4	4	6	6	4	4	6	0	6	6	0
B	0	12	0	8	0	0	0	0	12	0	0	12	8	12	0	0
C	0	0	0	4	0	8	4	8	0	4	8	8	4	8	8	0
D	8	4	4	4	4	0	0	4	4	8	0	4	4	4	4	8
E	0	6	6	4	6	0	4	6	6	4	0	6	4	6	6	0
F	0	6	6	4	6	4	0	6	6	0	4	6	4	6	6	0
10	0	0	0	0	0	8	12	4	0	12	8	4	0	4	4	8
11	4	2	2	16	2	4	0	2	2	0	4	2	16	2	2	4
12	0	0	0	8	0	4	4	8	0	4	4	8	8	8	8	0
13	8	2	6	0	6	4	0	6	2	8	4	2	0	2	6	8
14	0	8	8	0	8	0	8	0	8	8	0	0	0	0	0	16
15	8	4	4	0	4	8	0	4	4	0	8	4	0	4	4	8
16	0	8	8	4	8	8	0	0	8	0	8	0	4	0	0	8
17	4	6	2	4	2	0	0	2	6	16	0	6	4	6	2	4
18	0	8	8	8	8	4	0	0	8	0	4	0	8	0	0	8
19	4	4	4	0	4	4	16	4	4	0	4	4	0	4	4	4
1A	0	6	6	4	6	0	4	6	6	4	0	6	4	6	6	0
1B	0	6	6	4	6	4	0	6	6	0	4	6	4	6	6	0
1C	0	8	8	8	8	4	0	0	8	0	4	0	8	0	0	8
1D	4	4	4	0	4	4	0	4	4	16	4	4	0	4	4	4
1E	0	6	6	0	6	4	4	6	6	4	4	6	0	6	6	0
1F	0	0	12	8	12	0	0	12	0	0	0	0	8	0	12	0
20	0	0	0	8	0	0	0	12	0	0	0	12	8	12	12	0
21	0	4	8	0	8	4	8	8	4	0	4	4	0	4	8	0
22	8	2	2	0	2	4	8	6	2	8	4	6	0	6	6	0
23	4	6	2	8	2	4	0	2	6	0	4	6	8	6	2	4
24	0	6	6	4	6	4	0	6	6	0	4	6	4	6	6	0
25	0	8	4	4	4	0	0	4	8	8	0	8	4	8	4	0
26	0	6	6	0	6	4	8	2	6	8	4	2	0	2	2	8
27	4	6	2	8	2	4	0	2	6	0	4	6	8	6	2	4
28	16	4	4	0	4	4	4	4	4	4	4	4	0	4	4	0
29	0	6	2	8	2	4	0	2	6	8	4	6	8	6	2	0
2A	0	2	2	16	2	4	4	2	2	4	4	2	16	2	2	0
2B	8	0	4	0	4	8	16	4	0	0	8	0	0	0	4	8
2C	8	4	4	4	4	0	8	4	4	8	0	4	4	4	4	0
2D	4	2	6	4	6	8	0	6	2	0	8	2	4	2	6	4
2E	16	0	0	0	0	16	0	0	0	0	16	0	0	0	0	16
2F	16	0	0	0	0	0	16	0	0	16	0	0	0	0	0	16
30	0	6	6	4	6	4	0	6	6	0	4	6	4	6	6	0
31	0	8	4	4	4	0	0	4	8	8	0	8	4	8	4	0
32	16	6	6	4	6	0	4	2	6	4	0	2	4	2	2	0
33	0	2	6	4	6	8	8	6	2	0	8	2	4	2	6	0
34	0	12	12	8	12	0	0	0	12	0	0	0	8	0	0	0
35	0	4	8	0	8	4	8	8	4	0	4	4	0	4	8	0
36	0	2	2	4	2	0	4	6	2	4	0	6	4	6	6	16
37	0	2	6	4	6	8	8	6	2	0	8	2	4	2	6	0
38	0	4	4	0	4	4	4	4	4	4	4	4	0	4	4	16
39	0	6	2	8	2	4	0	2	6	8	4	6	8	6	2	0
3A	0	4	4	0	4	8	8	4	4	8	8	4	0	4	4	0
3B	16	4	4	0	4	0	0	4	4	0	0	4	0	4	4	16
3C	0	4	4	4	4	0	8	4	4	8	0	4	4	4	4	8
3D	4	2	6	4	6	8	0	6	2	0	8	2	4	2	6	4
3E	0	2	2	8	2	12	4	2	2	4	12	2	8	2	2	0
3F	8	4	0	8	0	0	0	0	4	16	0	4	8	4	0	8

	0	1	2	3	4	5	6	7	8	9	A	B	C	D	E	F
0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	4	0	10	8	6	0	4	2	2	12	10	2	4
2	0	0	0	4	0	10	6	4	0	6	4	2	4	8	10	6
3	8	2	4	6	4	4	2	2	6	8	6	4	4	0	2	2
4	0	0	0	8	0	4	10	6	0	6	6	4	8	6	0	6
5	12	2	0	4	0	4	8	2	4	0	16	2	0	2	0	8
6	0	8	4	6	4	6	2	2	4	4	6	0	6	0	2	10
7	2	0	4	8	4	2	6	6	2	8	6	2	2	0	6	6
8	0	0	0	2	0	8	10	4	0	4	10	4	8	4	4	6
9	8	6	0	4	0	6	6	2	2	10	2	8	6	2	0	2
A	0	6	8	6	0	8	0	0	8	10	4	2	8	0	0	4
B	4	2	2	4	8	10	6	4	2	6	2	2	6	2	2	2
C	0	0	0	10	0	2	10	2	0	6	10	6	6	6	2	4
D	10	4	2	2	0	6	16	0	0	2	10	2	2	4	0	4
E	0	6	4	8	4	6	10	2	4	4	4	2	4	0	2	4
F	4	4	0	8	0	2	0	2	8	2	4	2	8	4	4	12
10	0	0	0	0	0	4	4	12	0	2	8	10	4	6	12	2
11	6	6	10	10	4	0	2	6	2	4	0	6	2	4	2	0
12	0	2	4	2	10	4	0	10	8	6	0	6	0	6	6	0
13	0	0	6	2	8	0	0	4	4	6	2	8	2	8	10	4
14	0	12	2	6	4	0	4	4	8	4	4	4	6	2	4	0
15	4	8	0	2	8	0	2	4	2	2	4	2	4	8	8	6
16	0	6	10	2	14	0	2	2	4	4	0	6	0	4	6	4
17	0	6	8	4	8	4	0	2	8	4	0	2	2	8	6	2
18	0	10	8	0	6	4	0	4	4	4	6	4	4	4	0	6
19	0	4	6	2	4	4	2	6	4	2	2	4	12	2	10	0
1A	0	2	16	2	12	2	0	6	4	0	0	4	0	4	4	8
1B	2	8	12	0	0	2	2	6	8	4	0	6	0	0	8	6
1C	0	10	2	6	6	6	6	4	8	2	0	4	4	4	2	0
1D	4	6	2	0	8	2	4	6	6	0	8	6	2	4	2	4
1E	0	2	6	2	4	0	0	2	12	2	2	6	2	10	10	4
1F	0	6	8	4	8	8	0	6	6	2	0	6	0	6	2	2
20	0	0	0	8	0	8	2	6	0	4	4	4	6	6	8	8
21	0	0	0	6	6	2	6	4	6	10	14	4	0	0	4	2
22	14	4	0	10	0	2	12	2	2	2	10	2	0	0	2	2
23	2	0	0	4	2	2	10	4	0	8	8	2	6	8	0	8
24	6	2	8	4	4	4	6	2	2	6	6	2	6	2	2	2
25	6	0	0	8	2	8	2	6	6	4	2	2	4	2	6	6
26	12	0	0	4	0	4	4	4	0	8	4	0	12	8	0	4
27	12	2	0	2	0	12	2	2	4	4	8	4	8	2	2	0
28	2	8	4	6	2	4	6	0	6	6	4	0	2	2	2	10
29	6	4	6	8	8	4	6	2	0	0	2	2	10	0	2	4
2A	4	4	0	2	2	4	6	2	0	0	6	4	10	4	4	12
2B	4	6	2	6	0	0	12	2	0	4	12	2	6	4	0	4
2C	8	6	2	6	4	8	6	0	4	4	0	2	6	0	6	2
2D	4	4	0	4	0	6	4	2	4	12	0	4	4	6	4	6
2E	6	0	2	4	0	6	6	4	2	10	6	10	6	2	0	0
2F	10	4	0	2	2	6	10	2	0	2	2	4	6	2	2	10
30	0	4	8	4	6	4	0	6	10	4	2	4	2	6	4	0
31	0	6	6	4	10	2	0	0	4	4	0	0	4	6	12	6
32	4	6	0	2	6	4	6	0	6	0	4	6	4	10	6	0
33	8	10	0	14	8	0	0	8	2	0	2	4	0	4	4	0
34	0	4	4	2	14	4	0	8	6	8	2	2	0	4	6	0
35	0	4	16	0	8	4	0	4	4	4	0	8	0	4	4	4
36	4	4	4	6	2	2	2	12	2	4	4	8	2	4	4	0
37	4	2	2	2	4	2	0	8	2	2	2	12	6	2	8	6
38	0	4	8	4	12	0	0	8	10	2	0	0	0	4	2	10
39	0	8	12	0	2	2	2	2	12	4	0	8	0	4	4	4
3A	0	14	4	0	4	6	0	0	6	2	10	8	0	0	4	6
3B	0	2	2	2	4	4	8	6	8	2	2	2	6	14	2	0
3C	0	0	10	2	6	0	0	2	6	2	2	10	2	4	10	8
3D	0	6	12	2	4	8	0	8	8	2	2	0	2	2	4	4
3E	4	4	10	0	2	4	8	8	2	2	0	2	6	8	4	0
3F	8	6	6	0	4	2	2	4	4	2	8	6	2	4	6	0

	0	1	2	3	4	5	6	7	8	9	A	B	C	D	E	F
0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	6	0	2	6	2	0	4	2	4	6	16	14	2
2	0	0	0	2	0	10	6	10	0	2	4	8	6	6	8	2
3	0	8	0	8	0	6	4	6	4	4	4	12	2	4	2	0
4	0	0	0	8	0	0	8	0	0	6	8	10	2	4	10	8
5	10	2	4	4	4	8	8	4	2	2	0	4	0	8	0	4
6	0	8	4	4	8	4	2	2	12	0	2	6	6	2	2	2
7	6	6	4	0	2	10	2	2	2	2	6	6	8	0	6	2
8	0	0	0	6	0	2	16	4	0	2	6	2	4	12	6	4
9	10	4	2	6	0	2	6	2	4	0	8	6	4	4	2	4
A	0	14	4	4	0	2	2	2	10	4	4	4	6	4	2	2
B	4	6	2	0	2	2	12	8	2	2	2	6	8	2	0	6
C	0	0	0	12	0	10	4	6	0	8	4	4	2	12	2	0
D	12	0	2	10	6	4	4	2	4	2	6	0	2	6	0	4
E	0	6	4	0	4	4	10	8	6	2	4	6	2	0	6	2
F	2	2	2	2	6	2	6	2	10	4	8	2	6	4	4	2
10	0	0	0	8	0	8	0	12	0	4	2	6	8	4	6	6
11	6	2	6	4	6	2	6	4	6	6	4	2	4	0	6	0
12	0	8	4	2	0	4	2	0	4	10	6	2	8	6	4	4
13	6	6	12	0	12	2	0	6	6	2	0	4	0	2	4	2
14	0	4	6	2	8	6	0	2	6	10	4	0	2	4	6	4
15	2	2	6	6	4	4	2	6	2	6	8	4	4	0	4	4
16	0	4	14	6	8	4	2	6	2	0	2	0	4	2	0	10
17	2	6	8	0	0	2	0	2	2	6	0	8	8	2	12	6
18	0	4	6	6	8	4	2	2	6	4	6	4	2	4	2	4
19	2	6	0	2	4	4	4	6	4	8	6	4	2	2	6	4
1A	0	6	6	0	8	2	4	6	4	2	4	6	2	0	4	10
1B	0	4	10	2	4	4	2	6	6	6	2	2	6	6	2	2
1C	0	0	8	2	12	2	6	2	8	6	6	2	4	0	4	2
1D	2	4	0	6	8	6	0	2	6	8	6	0	2	4	0	10
1E	0	10	8	2	8	2	0	2	6	4	2	4	6	4	2	4
1F	0	6	6	8	6	4	2	4	4	2	2	0	2	4	2	12
20	0	0	0	0	0	6	6	4	0	4	8	8	4	6	10	8
21	2	8	6	8	4	4	6	6	8	4	0	4	0	2	2	0
22	16	2	4	6	2	4	2	0	6	4	8	2	0	2	2	4
23	0	4	0	4	4	6	10	4	2	2	6	2	4	6	6	4
24	10	8	0	6	12	6	10	4	8	0	0	0	0	0	0	0
25	0	2	4	2	0	4	4	0	4	0	10	10	4	10	6	4
26	2	2	0	12	2	2	6	2	4	4	8	0	6	6	8	0
27	8	4	0	8	2	4	2	4	0	6	2	4	4	8	2	6
28	6	8	4	6	0	4	2	2	4	8	2	6	4	2	2	4
29	2	4	4	0	8	8	6	8	6	4	0	4	4	4	2	0
2A	6	0	0	6	6	4	6	8	2	4	0	2	2	4	6	8
2B	12	0	4	0	0	4	2	2	2	6	10	6	10	2	4	0
2C	4	2	6	0	0	6	8	6	4	2	2	8	4	6	4	2
2D	6	2	2	6	6	4	4	2	6	2	4	8	4	2	4	2
2E	4	6	2	4	2	4	4	2	4	2	4	6	4	10	4	2
2F	10	0	4	8	0	6	6	2	0	4	4	2	6	2	2	8
30	0	12	8	2	0	6	0	0	6	6	0	2	8	2	6	6
31	2	6	10	4	2	2	2	4	6	0	2	6	0	2	4	12
32	4	2	2	8	10	8	8	6	0	2	2	4	4	2	2	0
33	4	2	2	2	6	0	4	0	10	6	6	4	0	4	8	6
34	0	4	4	2	6	4	0	4	6	2	6	4	2	8	0	12
35	6	12	4	2	4	2	2	4	8	2	2	0	6	4	4	2
36	0	2	2	4	4	4	4	0	2	10	12	4	0	10	4	2
37	10	2	2	6	14	2	2	6	2	0	4	6	2	0	4	2
38	0	4	14	0	8	2	0	4	4	4	2	0	8	2	4	8
39	2	4	8	0	6	2	0	6	2	6	4	2	8	6	2	6
3A	8	4	0	4	6	2	0	4	6	8	6	0	6	0	4	6
3B	0	4	6	6	2	2	2	14	0	12	0	4	2	2	8	0
3C	0	6	16	0	2	2	2	8	4	2	0	12	6	2	2	0
3D	0	6	2	2	2	6	8	2	4	2	6	2	6	2	4	10
3E	4	2	2	4	4	0	6	10	4	2	4	6	6	2	6	2
3F	0	4	6	6	4	8	4	0	4	8	4	0	4	8	2	2

	0	1	2	3	4	5	6	7	8	9	A	B	C	D	E	F
0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	2	0	4	4	14	0	12	4	6	2	6	6	4
2	0	0	0	0	0	12	2	2	0	4	0	4	8	12	6	14
3	8	2	12	2	6	8	6	0	6	4	4	2	2	0	0	2
4	0	0	0	8	0	4	4	8	0	8	8	12	2	6	2	2
5	6	0	0	2	8	0	8	4	0	2	6	0	10	6	6	6
6	0	2	12	0	8	4	8	2	4	4	4	2	6	0	6	2
7	4	6	4	12	0	4	2	0	0	14	2	6	4	0	0	6
8	0	0	0	8	0	0	6	10	0	4	12	4	6	6	0	8
9	10	8	4	8	6	2	2	0	2	6	8	2	0	6	0	0
A	0	10	6	2	12	2	4	0	4	4	6	4	4	0	0	6
B	0	2	2	2	4	8	6	4	4	0	4	2	6	4	2	14
C	0	0	0	4	0	4	8	4	0	2	6	0	14	12	8	2
D	6	6	2	4	2	6	4	6	6	4	8	8	0	2	0	0
E	0	12	10	10	0	2	4	2	8	6	4	2	0	0	2	2
F	2	0	0	0	6	8	8	0	6	2	4	6	8	0	6	8
